name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986
	OtherNonOperatingIncomeExpenses,"-4,499,000","-734,000","-1,250,000","-1,262,000","-1,253,000","-1,000","58,000","-4,000","118,000","-19,000","-7,000","352,000","-11,000","3,000","0","7,000",,"53,000",,,,,,,,,,,,,,,,,,,"-1,425,000","82,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"71,115,000","20,081,000","19,705,000","15,753,000","15,576,000","22,489,000","19,655,000","23,832,000","24,941,000","25,729,000","22,635,000","14,847,000","29,350,000","23,959,000","34,747,000","30,960,000","31,293,000","28,582,000","27,939,000","24,334,000","23,595,000","27,492,000","25,459,000","24,746,000","21,625,000","24,101,000","23,625,000","22,109,000","20,172,000","20,733,000","18,894,000","22,025,000","16,905,000","19,628,000","19,372,000","14,276,000","17,556,000","18,948,000","19,486,000","20,234,000","20,362,000","17,947,000","19,615,000","17,639,000","19,508,000","16,733,000","14,640,000","17,449,000","14,566,000","12,999,000","12,182,000","9,747,000","9,372,000","8,531,000","8,178,000","7,789,000","6,751,000","5,982,000","4,638,000","4,061,000","2,414,000","2,086,000","2,035,000","1,782,000","1,557,000","1,271,000","1,093,000","1,099,000","1,245,000","1,179,000","124,000","920,000","753,000","586,000","279,000","678,000","225,000","583,000","-219,000","485,000","17,000","306,000","724,000","-788,000","175,000","140,000","-2,567,000","-2,416,000","-3,300,000","-2,942,000",,,,,,,,,,,,,,,"-7,800,000","-1,900,000",,,"-400,000","200,000",,,,,,,,,,,,,"-100,000","-800,000","-200,000","100,000","100,000","1,200,000",,,,,,,,,,,,,,,,
TaxProvision,"7,086,000","1,704,000","4,025,000","730,000","627,000","1,202,000","2,521,000","-152,000","1,677,000","1,284,000","517,000","-217,000","1,004,000","-1,084,000","26,474,000","1,679,000","2,222,000","2,126,000","414,000","-204,000","-302,000","869,000","516,000","789,000","-1,418,000","1,750,000","1,696,000","1,877,000","1,136,000","2,397,000","2,347,000","4,010,000","3,326,000","4,211,000","4,127,000","1,133,000","4,014,000","1,604,000","741,000","2,162,000","2,295,000","2,262,000","2,285,000","1,103,000","-2,840,000","1,569,000","-1,304,000","768,000","556,000","615,000","85,000","313,000","416,000","196,000","267,000","391,000","415,000","312,000","140,000","368,000","-99,000","124,000","362,000","123,000","59,000","136,000","149,000","-127,000","161,000","111,000","21,000","-61,000","43,000","140,000","-209,000","103,000","136,000","67,000","-5,000","-17,000","0","108,000","135,000","-2,000",,,"15,000","59,000","62,000","13,000",,,,,,,,,,,,,,,"0","0",,,"0","0",,,,,,,,,,,,,"0","-100,000","0","0","0","100,000",,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"65,788,000","19,191,000","15,425,000","15,451,000","15,721,000","21,591,000","19,497,000","24,682,000","23,475,000","24,723,000","21,650,000","20,509,000","28,851,000","25,710,000","8,509,000","29,242,000","29,180,000","26,208,000","26,573,000","24,184,000","23,434,000","26,427,000","24,629,000","24,067,000","22,992,000","22,159,000","21,929,000","20,232,000","19,036,000","18,336,000","16,547,000","18,015,000","13,579,000","15,417,000","15,245,000","13,143,000","13,542,000","17,344,000","18,745,000","18,072,000","18,067,000","15,685,000","17,330,000","16,536,000","22,348,000","15,164,000","15,944,000","16,681,000","14,010,000","12,384,000","12,097,000","9,434,000","8,956,000","8,335,000","7,911,000","7,398,000","6,336,000","5,670,000","4,498,000","3,693,000","2,513,000","1,962,000","1,673,000","1,659,000","1,498,000","1,135,000","944,000","1,226,000","1,084,000","1,068,000","103,000","981,000","710,000","446,000","488,000","575,000","89,000","516,000","-214,000","502,000","17,000","198,000","589,000","-786,000","175,000","140,000","-2,582,000","-2,475,000","-3,362,000","-2,955,000","-8,160,000","-4,000,000","-4,800,000","-2,200,000","800,000","500,000","300,000","100,000","-3,800,000",,"100,000","0","-3,900,000","-2,100,000","-7,800,000","-1,900,000","-1,300,000","-800,000","-400,000","200,000","200,000","-1,600,000","-2,300,000","-5,000,000","200,000","-1,800,000","-200,000","200,000","200,000","300,000","-8,000,000","100,000","-100,000","-700,000","-200,000","100,000","100,000","1,100,000",,,,,,,,,,,,,,,,
	NetIncome,"65,788,000","19,191,000","15,425,000","15,451,000","15,721,000","21,591,000","19,497,000","24,682,000","23,475,000","24,723,000","21,650,000","20,509,000","28,851,000","25,710,000","8,509,000","29,242,000","29,180,000","26,208,000","26,573,000","24,184,000","23,434,000","26,427,000","24,629,000","24,067,000","22,992,000","22,159,000","21,929,000","20,232,000","19,036,000","18,336,000","16,547,000","18,015,000","13,579,000","15,417,000","15,245,000","13,143,000","13,542,000","17,344,000","18,745,000","18,072,000","18,067,000","15,685,000","17,330,000","16,536,000","22,348,000","15,164,000","15,944,000","16,681,000","14,010,000","12,384,000","12,097,000","9,434,000","8,956,000","8,335,000","7,911,000","7,398,000","6,336,000","5,670,000","4,498,000","3,693,000","2,513,000","1,962,000","1,673,000","1,659,000","1,498,000","1,135,000","944,000","1,226,000","1,084,000","1,068,000","103,000","981,000","710,000","446,000","488,000","575,000","89,000","516,000","-214,000","502,000","17,000","198,000","589,000","-786,000","175,000","140,000","-2,582,000","-2,475,000","-3,362,000","-2,955,000","-8,160,000","-4,000,000","-4,800,000","-2,200,000","800,000","500,000","300,000","100,000","-3,800,000",,"100,000",,"-3,900,000","-2,100,000","-7,800,000","-1,900,000","-1,300,000","-800,000","-400,000","200,000","200,000","-1,600,000","-2,300,000","-5,000,000","200,000","-1,800,000","-200,000","200,000","200,000","300,000","-8,000,000",,"-100,000","-700,000","-200,000","100,000",,"1,100,000",,,,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"64,029,000","18,377,000","15,680,000","15,023,000","14,949,000","21,287,000","17,134,000","23,984,000","23,264,000","24,445,000","22,118,000","15,064,000","28,346,000","25,043,000","8,273,000","29,281,000","29,071,000","26,456,000","27,525,000","24,538,000","23,897,000","26,623,000","24,943,000","23,957,000","23,043,000","22,351,000","21,929,000","20,232,000","19,036,000","18,336,000","16,547,000","18,015,000","13,579,000","15,417,000","15,245,000","13,143,000","13,542,000","17,344,000","18,745,000","18,072,000","18,067,000","15,685,000","17,330,000","16,536,000","22,348,000","15,164,000","15,944,000","16,681,000","14,010,000","12,384,000","12,097,000","9,434,000","8,956,000","8,335,000","7,911,000","7,398,000","6,336,000","5,670,000","4,498,000","3,693,000","2,513,000","1,962,000","1,673,000","1,659,000","1,498,000","1,135,000","944,000","1,226,000","1,084,000","1,068,000","103,000","981,000","710,000","446,000","488,000","575,000","89,000","516,000","-214,000","502,000","17,000","198,000","589,000","-786,000","175,000","140,000","-2,582,000","-2,475,000","-3,362,000","-2,955,000","-8,160,000","-4,000,000","-4,800,000","-2,200,000","900,000","700,000","300,000","100,000","-3,800,000",,"100,000","0","-3,900,000","-2,100,000","-7,800,000","-1,900,000","-1,300,000","-800,000","-400,000","200,000","200,000","-1,600,000","-2,300,000","-5,000,000","200,000","-1,800,000","-200,000","200,000","200,000","300,000","-8,000,000","100,000","-100,000","-700,000","-200,000","100,000","100,000","1,100,000","500,000","100,000","0","-500,000","-1,000,000","-100,000","700,000","-300,000","-500,000","-800,000","-100,000",,"100,000","200,000","200,000","200,000"
			NetIncomeContinuousOperations,"64,029,000","18,377,000","15,680,000","15,023,000","14,949,000","21,287,000","17,134,000","23,984,000","23,264,000","24,445,000","22,118,000","15,064,000","28,346,000","25,043,000","8,273,000","29,281,000","29,071,000","26,456,000","27,525,000","24,538,000","23,897,000","26,623,000","24,943,000","23,957,000","23,043,000","22,351,000","21,929,000","20,232,000","19,036,000","18,336,000","16,547,000","18,015,000","13,579,000","15,417,000","15,245,000","13,143,000","13,542,000","17,344,000","18,745,000","18,072,000","18,067,000","15,685,000","17,330,000","16,536,000","22,348,000","15,164,000","15,944,000","16,681,000","14,010,000","12,384,000","12,097,000","9,434,000","8,956,000","8,335,000","7,911,000","7,398,000","6,336,000","5,670,000","4,498,000","3,693,000","2,513,000","1,962,000","1,673,000","1,659,000","1,498,000","1,135,000","944,000","1,226,000","1,084,000","1,068,000","103,000","981,000","710,000","446,000","488,000","575,000","89,000","516,000","-214,000","502,000","17,000","198,000","589,000","-786,000","175,000","140,000","-2,582,000","-2,475,000","-3,362,000","-2,955,000","-8,160,000","-4,000,000","-4,800,000","-2,200,000","800,000","500,000","300,000","100,000","-3,800,000",,"100,000","0","-3,900,000","-2,100,000","-7,800,000","-1,900,000","-1,300,000","-800,000","-400,000","200,000","200,000","-1,600,000","-2,300,000","-5,000,000","200,000","-1,800,000","-200,000","200,000","200,000","300,000","-8,000,000","100,000","-100,000","-700,000","-200,000","100,000","100,000","1,100,000","500,000","100,000","0","-500,000","-1,000,000","-100,000","700,000","-300,000","-500,000","-800,000","-100,000",,"200,000","200,000","200,000","200,000"
		MinorityInterests,"1,759,000","814,000","-255,000","428,000","772,000","304,000","2,363,000","698,000","211,000","278,000","-468,000","5,445,000","505,000","667,000","236,000","-39,000","109,000","-248,000","-952,000","-354,000","-463,000","-196,000","-314,000","110,000","-51,000","-192,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,000","-200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"65,788,000","19,191,000","15,425,000","15,451,000","15,721,000","21,591,000","19,497,000","24,682,000","23,475,000","24,723,000","21,650,000","20,509,000","28,851,000","25,710,000","8,509,000","29,242,000","29,180,000","26,208,000","26,573,000","24,184,000","23,434,000","26,427,000","24,629,000","24,067,000","22,992,000","22,159,000","21,929,000","20,232,000","19,036,000","18,336,000","16,547,000","18,015,000","13,579,000","15,417,000","15,245,000","13,143,000","13,542,000","17,344,000","18,745,000","18,072,000","18,067,000","15,685,000","17,330,000","16,536,000","22,348,000","15,164,000","15,944,000","16,681,000","14,010,000","12,384,000","12,097,000","9,434,000","8,956,000","8,335,000","7,911,000","7,398,000","6,336,000","5,670,000","4,498,000","3,693,000","2,513,000","1,962,000","1,673,000","1,659,000","1,498,000","1,135,000","944,000","1,226,000","1,084,000","1,068,000","103,000","981,000","710,000","446,000","488,000","575,000","89,000","516,000","-214,000","502,000","17,000","198,000","589,000","-786,000","175,000","140,000","-2,582,000","-2,475,000","-3,362,000","-2,955,000","-8,160,000","-4,000,000","-4,800,000","-2,200,000","800,000","500,000","300,000","100,000","-3,800,000",,"100,000",,"-3,900,000","-2,100,000","-7,800,000","-1,900,000","-1,300,000","-800,000","-400,000","200,000","200,000","-1,600,000","-2,300,000","-5,000,000","200,000","-1,800,000","-200,000","200,000","200,000","300,000","-8,000,000",,"-100,000","-700,000","-200,000","100,000",,"1,100,000",,,,,,,,,,,,,,,,
BasicEPS,,"0.62",,"0.5","0.51","0.71",,"0.81","0.77","0.81","0.71","0.67","0.95","0.84","0.27","0.93","0.93","0.83","0.84","0.77","0.74","0.83","0.76","0.74","0.7","0.67","0.65","0.59","0.54","0.51","0.45","0.47","0.35","0.4",,"0.35","0.36","0.47",,"0.49","0.49","0.43",,"0.44","0.57","0.4",,"0.48","0.4","0.36",,"0.303","0.293","0.28",,"0.257","0.218","0.184",,"0.126","0.094","0.077",,"0.067","0.06","0.046",,"0.05","0.043","0.041",,"0.038","0.029","0.019",,"0.028","0.004","0.026",,"0.024","0","0.009",,"-0.036","0.009","0.009",,"-0.196","-0.267","-0.231",,"-0.347","-0.489","-0.249","0.098","0.062",,"0.012","-0.444","0",,"0","-0.578","-0.356",,"-0.978","-0.711","-0.444",,"0.089","0.044","-1.022",,"-3.333","0.089","-1.2",,"0.133","0.133","0.178",,"0.044","-0.089","-0.533",,"0.133","0.044","1.111",,"0.089","0.044","-0.533",,"-0.133","0.711","-0.356",,"-1.022","-0.133","0.044",,"0.267","0.222","0.222"
DilutedEPS,,"0.62",,"0.5","0.51","0.7",,"0.8","0.76","0.81","0.71","0.67","0.94","0.84","0.27","0.92","0.92","0.83","0.84","0.76","0.74","0.83","0.76","0.74","0.7","0.67","0.65","0.59","0.54","0.51","0.45","0.47","0.35","0.4",,"0.34","0.35","0.45",,"0.46","0.47","0.4",,"0.41","0.53","0.37",,"0.43","0.36","0.32",,"0.253","0.243","0.23",,"0.207","0.18","0.156",,"0.111","0.083","0.068",,"0.059","0.053","0.04",,"0.044","0.039","0.037",,"0.034","0.026","0.017",,"0.027","0.004","0.026",,"0.024","0","0.009",,"-0.036","0.009","0.009",,"-0.196","-0.267","-0.231",,"-0.347","-0.489","-0.249","0.098","0.062",,"0.012","-0.444","0",,"0","-0.578","-0.356",,"-0.978","-0.711","-0.444",,"0.089","0.044","-1.022",,"-3.333","0.089","-1.2",,"0.133","0.133","0.178",,"0.044","-0.089","-0.533",,"0.133","0.044","1.111",,"0.089","0.044","-0.533",,"-0.133","0.711","-0.356",,"-1.022","-0.133","0.044",,"0.267","0.222","0.222"
BasicAverageShares,,"30,712,000",,"30,646,000","30,581,000","30,558,000",,"30,525,000","30,504,000","30,476,000","30,495,000","30,501,000","30,528,000","30,524,000","31,133,000","31,492,000","31,465,000","31,482,000","31,470,000","31,453,000","31,490,000","31,807,000","32,279,000","32,421,000","32,688,000","33,043,000","33,678,000","34,304,000","35,046,000","35,708,000","36,588,000","38,050,000","38,427,000","38,318,000",,"37,919,000","37,210,000","37,168,000",,"37,214,000","36,908,000","36,450,000",,"37,345,000","39,159,000","38,151,000",,"34,592,000","34,957,000","34,747,000",,"31,236,000","30,558,000","29,781,000",,"28,821,000","29,061,000","30,654,000",,"29,448,000","26,757,000","25,632,000",,"24,867,000","24,831,000","24,732,000",,"24,606,000","25,002,000","26,208,000",,"26,100,000","24,651,000","23,274,000",,"20,619,000","20,619,000","20,619,000",,"20,619,000","20,616,750","20,616,750",,"20,616,750","14,953,500","12,804,750",,"12,799,125","12,792,375","12,669,750",,"11,538,462","9,818,182","8,839,286","8,181,818","8,035,714",,"8,550,000","8,550,000","8,249,625",,"6,428,571","6,750,000","5,906,250",,"1,943,182","1,828,125","1,800,000",,"2,250,000","1,565,217","1,565,217",,"1,500,000","1,500,000","1,500,000",,"1,500,000","1,500,000","1,687,500",,"1,285,714","1,125,000","1,312,500",,"750,000","990,000","990,000",,"937,125","932,625","924,750",,"875,250","875,250","875,250",,"822,375","822,375","822,375",,"761,625","761,625","761,625"
DilutedAverageShares,,"30,762,000",,"30,701,000","30,713,000","30,731,000",,"30,853,000","30,708,000","30,683,000","30,618,000","30,633,000","30,668,000","30,604,000","31,225,000","31,628,000","31,626,000","31,659,000","31,656,000","31,622,000","31,637,000","31,973,000","32,483,000","32,705,000","32,969,000","33,310,000","33,931,000","34,515,000","35,269,000","35,954,000","36,801,000","38,253,000","38,647,000","38,600,000",,"38,451,000","38,789,000","38,779,000",,"39,120,000","38,827,000","39,523,000",,"40,449,000","42,344,000","41,517,000",,"39,020,000","39,275,000","39,335,000",,"37,839,000","37,461,000","37,092,000",,"36,510,000","35,928,000","37,386,000",,"33,120,000","30,294,000","28,944,000",,"28,071,000","28,224,000","28,233,000",,"27,801,000","27,513,000","29,016,000",,"28,872,000","27,594,000","26,253,000",,"21,159,000","20,682,000","20,619,000",,"20,619,000","20,619,000","20,616,750",,"20,616,750","15,665,625","12,875,625",,"12,799,125","12,792,375","12,669,750",,"11,538,462","9,818,182","8,839,286","8,181,818","8,035,714",,"8,550,000","8,550,000","8,249,625",,"6,428,571","6,750,000","5,906,250",,"1,943,182","1,828,125","1,800,000",,"2,250,000","1,565,217","1,565,217",,"1,500,000","1,500,000","1,500,000",,"1,500,000","1,500,000","1,687,500",,"1,285,714","1,125,000","1,312,500",,"750,000","990,000","990,000",,"937,125","932,625","924,750",,"875,250","875,250","875,250",,"822,375","822,375","822,375",,"761,625","761,625","761,625"
TotalOperatingIncomeAsReported,"117,934,000","30,110,000","32,423,000","28,136,000","27,265,000","31,186,000","27,740,000","31,899,000","31,850,000","34,313,000","34,253,000","26,007,000","41,282,000","54,131,000","41,530,000","39,238,000","38,315,000","33,896,000","33,081,000","27,911,000","26,539,000","25,690,000","27,661,000","24,293,000","23,564,000","24,763,000","25,824,000","21,968,000","20,423,000","20,499,000","21,068,000","21,738,000","17,461,000","19,405,000","17,806,000","18,601,000","19,294,000","19,305,000","20,260,000","20,708,000","17,711,000","18,329,000","16,555,000","17,954,000","18,605,000","15,634,000","13,658,000","13,082,000","13,008,000","12,759,000","11,856,000","9,783,000","9,260,000","8,357,000","8,098,000","8,119,000","6,905,000","6,143,000","4,553,000","3,712,000","2,298,000","2,238,000","2,199,000","1,824,000","1,507,000","1,182,000","1,118,000","1,133,000","1,191,000","1,208,000","114,000","1,000,000","741,000","551,000","192,000","659,000","218,000","622,000","20,000","467,000","6,000","301,000","713,000","-826,000","158,000","148,000","-2,549,000","-2,470,000","-3,447,000","-2,989,000","-8,320,000","-4,000,000","-4,700,000","-1,900,000","1,000,000","800,000","-1,600,000","200,000","-1,800,000","100,000","0",,"-2,700,000","-2,000,000","-1,900,000","-1,700,000","-1,100,000","-700,000","-300,000","500,000","500,000","-1,400,000","-2,100,000","-4,700,000","300,000","-1,700,000",,,,,,,,"-700,000","-100,000","200,000",,"1,300,000",,,,,,,,,,,,,,,,
TotalExpenses,"873,204,000","256,143,000","234,404,000","163,600,000","219,057,000","258,867,000","188,208,000","122,406,000","79,462,000","103,563,000","111,930,000","121,226,000","102,993,000","88,793,000","94,797,000","89,405,000","86,311,000","74,334,000","71,600,000","64,889,000","60,848,000","53,413,000","52,385,000","50,315,000","49,010,000","46,303,000","44,380,000","44,845,000","44,289,000","43,254,000","39,565,000","29,070,000","34,015,000","31,999,000","33,041,000","31,692,000","31,710,000","33,261,000","33,763,000","33,096,000","30,005,000","25,498,000","27,495,000","24,648,000","23,662,000","24,416,000","21,439,000","20,199,000","19,199,000","18,844,000","19,448,000","13,509,000","13,161,000","12,311,000","12,045,000","12,049,000","10,898,000","10,496,000","7,648,000","8,094,000","7,518,000","6,780,000","7,079,000","5,472,000","5,522,000","4,468,000","5,048,000","4,763,000","4,943,000","4,696,000","5,603,000","4,656,000","3,935,000","3,383,000","3,166,000","3,509,000","3,077,000","2,990,000","2,885,000","3,209,000","2,719,000","3,044,000","2,861,000","3,635,000","3,201,000","2,997,000","5,582,000","5,353,000","6,440,000","5,844,000","8,731,000","7,200,000","8,600,000","7,000,000","6,000,000","5,400,000","7,500,000","5,500,000","7,200,000","5,500,000","6,200,000","6,100,000","9,900,000","10,200,000","12,600,000","11,800,000","12,400,000","12,700,000","12,600,000","13,100,000","13,600,000","14,400,000","17,000,000","17,400,000","13,900,000","13,600,000",,,,,,,"9,800,000","9,100,000","9,000,000","5,800,000","5,000,000","5,400,000",,,,,,,,,,,,,,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"65,788,000","19,191,000","15,425,000","15,451,000","15,721,000","21,591,000","19,497,000","24,682,000","23,475,000","24,723,000","21,650,000","20,509,000","28,851,000","25,710,000","8,509,000","29,242,000","29,180,000","26,208,000","26,573,000","24,184,000","23,434,000","26,427,000","24,629,000","24,067,000","22,992,000","22,159,000","21,929,000","20,232,000","19,036,000","18,336,000","16,547,000","18,015,000","13,579,000","15,417,000","15,245,000","13,143,000","13,542,000","17,344,000","18,745,000","18,072,000","18,067,000","15,685,000","17,330,000","16,536,000","22,348,000","15,164,000","15,944,000","16,681,000","14,010,000","12,384,000","12,097,000","9,434,000","8,956,000","8,335,000","7,911,000","7,398,000","6,336,000","5,670,000","4,498,000","3,693,000","2,513,000","1,962,000","1,673,000","1,659,000","1,498,000","1,135,000","944,000","1,226,000","1,084,000","1,068,000","103,000","981,000","710,000","446,000","488,000","575,000","89,000","516,000","-214,000","502,000","17,000","198,000","589,000","-786,000","175,000","140,000","-2,582,000","-2,475,000","-3,362,000","-2,955,000","-8,160,000","-4,000,000","-4,800,000","-2,200,000","800,000","500,000","300,000","100,000","-3,800,000",,"100,000","0","-3,900,000","-2,100,000","-7,800,000","-1,900,000","-1,300,000","-800,000","-400,000","200,000","200,000","-1,600,000","-2,300,000","-5,000,000","200,000","-1,800,000","-200,000","200,000","200,000","300,000","-8,000,000","100,000","-100,000","-700,000","-200,000","100,000","100,000","1,100,000",,,,,,,,,,,,,,,,
NormalizedIncome,"64,811,110.947","18,372,900.6","15,152,857.904","15,603,592","15,712,362.7","22,181,625","25,308,873.722","25,117,810","23,390,115.2","24,135,838.2","23,488,036.581","20,976,930","29,128,184.6","40,826,110","6,956,290","30,113,081.8","30,440,653","26,801,309.6","27,453,752.711","24,580,640","23,819,917","23,042,872","25,450,995.247","23,507,496","23,174,520","21,724,237","22,257,586.921","19,191,645","18,734,380","17,545,688","16,584,658.569","17,458,800","14,002,225","15,122,200","13,941,793.31","16,913,230","13,653,315","17,499,890","19,229,834.24","18,180,964.317","15,535,561.487","15,943,692.818","14,592,010.196","16,720,681.218","21,741,550","14,154,456.224","15,298,550","12,436,422.087","12,397,012.907","11,983,870.759","11,547,858.562","9,296,559.967","8,625,358.088","7,938,327.863","7,474,724.505","7,420,795.224","6,242,147.237","5,614,077.232","4,551,339.802","3,533,858.163","2,433,700","1,957,297.22","1,691,086.486","1,726,030.303","1,453,743.096","1,097,494.099","1,011,366.88","1,236,200","1,010,862.651","1,076,152.672","67,282.258","982,800","711,885.79","438,389.078","446,600","574,151.917","93,800","559,368.782","-214,000","502,000","17,000","198,000","589,000","-786,000","175,000","140,000","-2,582,000","-2,475,000","-3,362,000","-2,955,000","-8,160,000","-4,000,000","-4,800,000","-2,200,000","800,000","500,000","-960,000","100,000","-2,540,000",,"40,000","0","-3,120,000","-2,100,000","-7,800,000","-1,900,000","-1,300,000","-800,000","-400,000","200,000","200,000","-1,600,000","-2,300,000","-5,000,000","200,000","-1,800,000","-200,000","200,000","200,000","300,000","-8,000,000","100,000","-100,000","-700,000","-200,000","100,000","100,000","1,100,000",,,,,,,,,,,,,,,,
InterestIncome,"137,000","62,000","34,000","24,000","17,000","8,000","55,000","29,000","29,000","54,000","51,000","99,000","129,000","350,000","127,000","103,000","85,000","121,000","97,000","375,000","465,000","774,000","632,000","635,000","441,000","143,000","64,000","62,000","44,000","61,000","53,000","61,000","130,000","135,000","175,000","159,000","91,000","93,000","76,000","88,000","110,000","167,000","128,000","100,000","129,000","200,000","141,000","163,000","127,000","88,000","52,000","56,000","39,000","52,000","79,000","134,000","140,000","122,000","498,000","174,000","136,000",,"58,000","52,000","59,000","79,000","4,000",,"83,000","82,000","81,000",,"15,000","27,000","21,000","22,000",,,"23,000","27,000","21,000","19,000","27,000","51,000","30,000","22,000","47,000","81,000",,"61,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"43,542,000","10,251,000","11,844,000","10,985,000","10,462,000","8,079,000","7,699,000","7,495,000","7,147,000","9,237,000","9,781,000","10,970,000","11,763,000","9,818,000","9,037,000","7,467,000","5,750,000","4,847,000","4,345,000","3,552,000","3,018,000","2,468,000","1,995,000","1,922,000","2,185,000","1,274,000","1,909,000","1,058,000","625,000","719,000","2,184,000","392,000","211,000","247,000","265,000","318,000","281,000","362,000","536,000","440,000","312,000","253,000","167,000","218,000","159,000","215,000","152,000","236,000","246,000","268,000","279,000","234,000","273,000","284,000","450,000","440,000","394,000","342,000",,,"142,000",,"200,000","22,000","55,000","32,000","-49,000",,"113,000","102,000","114,000",,"1,000","2,000","3,000","4,000",,,"7,000","9,000","10,000","14,000","16,000","13,000","13,000","30,000","65,000","27,000",,"14,000",,"0",,"100,000","100,000",,,,,"100,000",,,,,"100,000","100,000","200,000","100,000","200,000","300,000","200,000","200,000","200,000","200,000","100,000","100,000",,,,,,,"100,000","100,000",,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-43,405,000","-10,189,000","-11,810,000","-10,961,000","-10,445,000","-8,071,000","-7,644,000","-7,466,000","-7,118,000","-9,183,000","-9,730,000","-10,871,000","-11,634,000","-9,468,000","-8,910,000","-7,364,000","-5,665,000","-4,726,000","-4,248,000","-3,177,000","-2,553,000","-1,694,000","-1,363,000","-1,287,000","-1,744,000","-1,131,000","-1,845,000","-996,000","-581,000","-658,000","-2,131,000","-331,000","-81,000","-112,000","-90,000","-159,000","-190,000","-269,000","-460,000","-352,000","-202,000","-86,000","-39,000","-118,000","-30,000","-15,000","-11,000","-73,000","-119,000","-180,000","-227,000","-178,000","-234,000","-232,000","-371,000","-306,000","-254,000","-220,000","140,000","174,000","-6,000",,"-142,000","30,000","4,000","47,000","53,000",,"-30,000","-20,000","-33,000",,"14,000","25,000","18,000","18,000",,,"16,000","18,000","11,000","5,000","11,000","38,000","17,000","-8,000","-18,000","54,000",,"47,000",,"0",,"-100,000","-100,000",,,,,"-100,000",,,,,"-100,000","-100,000","-200,000","-100,000","-200,000","-300,000","-200,000","-200,000","-200,000","-200,000","-100,000","-100,000",,,,,,,"-100,000","-100,000",,,,,,,,,,,,,,,,,,,,
